214;7;VILLANUEVA
215;7;ZAMBRANO
216;8;ALMEIDA
217;8;AQUITANIA
218;8;ARCABUCO
219;8;BELÉN
220;8;BERBEO
221;8;BETÉITIVA
222;8;BOAVITA
223;8;BOYACÁ
224;8;BRICEÑO
225;8;BUENAVISTA
226;8;BUSBANZÁ
227;8;CALDAS
228;8;CAMPOHERMOSO
229;8;CERINZA
230;8;CHINAVITA
231;8;CHIQUINQUIRÁ
232;8;CHÍQUIZA
233;8;CHISCAS
234;8;CHITA
235;8;CHITARAQUE
236;8;CHIVATÁ
237;8;CHIVOR
238;8;CIÉNEGA
239;8;CÓMBITA
240;8;COPER
241;8;CORRALES
242;8;COVARACHÍA
243;8;CUBARÁ
244;8;CUCAITA
245;8;CUÍTIVA
246;8;DUITAMA
247;8;EL COCUY
248;8;EL ESPINO
249;8;FIRAVITOBA
250;8;FLORESTA
251;8;GACHANTIVÁ
252;8;GÁMEZA
253;8;GARAGOA
254;8;GUACAMAYAS
255;8;GUATEQUE
256;8;GUAYATÁ
257;8;GÜICÁN
258;8;IZA
259;8;JENESANO
260;8;JERICÓ
261;8;LA CAPILLA
262;8;LA UVITA
263;8;LA VICTORIA
264;8;LABRANZAGRANDE
265;8;MACANAL
266;8;MARIPÍ
267;8;MIRAFLORES
268;8;MONGUA
269;8;MONGUÍ
270;8;MONIQUIRÁ
271;8;MOTAVITA
272;8;MUZO
273;8;NOBSA
274;8;NUEVO COLÓN
275;8;OICATÁ
276;8;OTANCHE
277;8;PACHAVITA
278;8;PÁEZ
279;8;PAIPA
280;8;PAJARITO
281;8;PANQUEBA
282;8;PAUNA
283;8;PAYA
284;8;PAZ DE RÍO
285;8;PESCA
286;8;PISBA
287;8;PUERTO BOYACÁ
288;8;QUÍPAMA
289;8;RAMIRIQUÍ
290;8;RÁQUIRA
291;8;RONDÓN
292;8;SABOYÁ
293;8;SÁCHICA
294;8;SAMACÁ
295;8;SAN EDUARDO
296;8;SAN JOSÉ DE PARE
297;8;SAN LUIS DE GACENO
298;8;SAN MATEO
299;8;SAN MIGUEL DE SEMA
300;8;SAN PABLO DE BORBUR
301;8;SANTA MARÍA
302;8;SANTA ROSA DE VITERBO
303;8;SANTA SOFÍA
304;8;SANTANA
305;8;SATIVANORTE
306;8;SATIVASUR
307;8;SIACHOQUE
308;8;SOATÁ
309;8;SOCHA
310;8;SOCOTÁ
311;8;SOGAMOSO
312;8;SOMONDOCO
313;8;SORA
314;8;SORACÁ
315;8;SOTAQUIRÁ
316;8;SUSACÓN
317;8;SUTAMARCHÁN
318;8;SUTATENZA
319;8;TASCO
320;8;TENZA
321;8;TIBANÁ
322;8;TIBASOSA
323;8;TINJACÁ
324;8;TIPACOQUE
325;8;TOCA
326;8;TOGÜÍ
327;8;TÓPAGA
328;8;TOTA
329;8;TUNJA
330;8;TUNUNGUÁ
331;8;TURMEQUÉ
332;8;TUTA
333;8;TUTAZÁ
334;8;ÚMBITA
335;8;VENTAQUEMADA
336;8;VILLA DE LEYVA
337;8;VIRACACHÁ
338;8;ZETAQUIRA
339;9;AGUADAS
340;9;ANSERMA
341;9;ARANZAZU
342;9;BELALCÁZAR
343;9;CHINCHINÁ
344;9;FILADELFIA
345;9;LA DORADA
346;9;LA MERCED
347;9;MANIZALES
348;9;MANZANARES
349;9;MARMATO
350;9;MARQUETALIA
351;9;MARULANDA
352;9;NEIRA
353;9;NORCASIA
354;9;PÁCORA
355;9;PALESTINA
356;9;PENSILVANIA
357;9;RIOSUCIO
358;9;RISARALDA
359;9;SALAMINA
360;9;SAMANÁ
361;9;SAN JOSÉ
362;9;SUPÍA
363;9;VICTORIA
364;9;VILLAMARÍA
365;9;VITERBO
366;10;ALBANIA
367;10;BELÉN DE LOS ANDAQUÍES
368;10;CARTAGENA DEL CHAIRÁ
369;10;CURILLO
370;10;EL DONCELLO
371;10;EL PAUJÍL
372;10;FLORENCIA
373;10;LA MONTAÑITA
374;10;MILÁN
375;10;MORELIA
376;10;PUERTO RICO
377;10;SAN JOSÉ DEL FRAGUA
378;10;SAN VICENTE DEL CAGUÁN
379;10;SOLANO
380;10;SOLITA
381;10;VALPARAÍSO
382;11;AGUAZUL
383;11;CHÁMEZA
384;11;HATO COROZAL
385;11;LA SALINA
386;11;MANÍ
387;11;MONTERREY
388;11;NUNCHÍA
389;11;OROCUÉ
390;11;PAZ DE ARIPORO
391;11;PORE
392;11;RECETOR
393;11;SABANALARGA
394;11;SÁCAMA
395;11;SAN LUIS DE PALENQUE
396;11;TÁMARA
397;11;TAURAMENA
398;11;TRINIDAD
399;11;VILLANUEVA
400;11;YOPAL
401;12;ALMAGUER
402;12;ARGELIA
403;12;BALBOA
404;12;BOLÍVAR
405;12;BUENOS AIRES
406;12;CAJIBÍO
407;12;CALDONO
408;12;CALOTO
409;12;CORINTO
410;12;EL TAMBO
411;12;FLORENCIA
412;12;GUACHENÉ
413;12;GUAPÍ
414;12;INZÁ
415;12;JAMBALÓ
416;12;LA SIERRA
417;12;LA VEGA
418;12;LÓPEZ DE MICAY
419;12;MERCADERES
420;12;MIRANDA
421;12;MORALES
422;12;PADILLA
423;12;PÁEZ
424;12;PATÍA
425;12;PIAMONTE
426;12;PIENDAMÓ
427;12;POPAYÁN
428;12;PUERTO TEJADA
429;12;PURACÉ
430;12;ROSAS
431;12;SAN SEBASTIÁN
432;12;SANTA ROSA
433;12;SANTANDER DE QUILICHAO
434;12;SILVIA
435;12;SOTARA
436;12;SUÁREZ
437;12;SUCRE
438;12;TIMBÍO
439;12;TIMBIQUÍ
440;12;TORIBÍO
441;12;TOTORÓ
442;12;VILLA RICA
443;13;AGUACHICA
444;13;AGUSTÍN CODAZZI
445;13;ASTREA
446;13;BECERRIL
447;13;BOSCONIA
448;13;CHIMICHAGUA
449;13;CHIRIGUANÁ
450;13;CURUMANÍ
451;13;EL COPEY
452;13;EL PASO
453;13;GAMARRA
454;13;GONZÁLEZ
455;13;LA GLORIA
456;13;LA JAGUA DE IBIRICO
457;13;LA PAZ
